date,st,lo,mi,hi
1991-06-20,1,0.05774119245272812,0.206206296788423,0.6640741556327426
1991-06-20,2,0.13211930417660306,0.3279821124941499,0.6668664228487803
1991-06-20,3,0.5901985118367218,0.8029349573304678,0.9281157140770658
1991-06-20,4,0.29137217035406876,0.6111976093608267,0.8387190636883873
1991-08-20,1,0.0389808166029063,0.10190202672606993,0.2296003314201696
1991-08-20,2,0.09661609549257678,0.20208356667544322,0.3604372475802242
1991-08-20,3,0.17855786985079017,0.3130880061516462,0.49634534246935663
1991-08-20,4,0.18413402911519683,0.3529109874935726,0.5906332544727668
1992-06-20,1,0.03047617714113555,0.062221656446285786,0.11384086524766975
1992-06-20,2,0.08528751047597438,0.19051116701312507,0.3676167139137544
1992-06-20,3,0.11060931069214464,0.208881807391049,0.35370987067749216
1992-06-20,4,0.14824360857147367,0.29005354097813435,0.5262146634951964
1992-08-20,1,0.034381768391137255,0.0848049481771539,0.17971950288317284
1992-08-20,2,0.09283266305895994,0.22366310480277546,0.4588374951053752
1992-08-20,3,0.12942059512098356,0.2644193108210967,0.48459210051332147
1992-08-20,4,0.1616280344688402,0.3470550383849681,0.6221988690306046
1993-06-20,1,0.04031553214044605,0.1118122882073895,0.28162319919176054
1993-06-20,2,0.10059594976105125,0.2712363508792911,0.5804451819504877
1993-06-20,3,0.1675671564550498,0.3478166319418259,0.6285365019718352
1993-06-20,4,0.17613984322249948,0.39835986868211803,0.7173224089780847
1993-08-20,1,0.04836407880610639,0.143902470335923,0.36963235192419364
1993-08-20,2,0.11587942581579087,0.31578873821191566,0.6496043704178444
1993-08-20,3,0.19832531860854047,0.412503954666093,0.6965620898940809
1993-08-20,4,0.19252669447570245,0.4303586106587528,0.7391847970086243
1994-06-20,1,0.06058702674491392,0.21143532944579316,0.5037349807723763
1994-06-20,2,0.13772028700013975,0.3714967507034514,0.728582420355941
1994-06-20,3,0.250870650953071,0.4999202943383019,0.7955781394540614
1994-06-20,4,0.22146899334993078,0.475724033830664,0.7918084206479028
1994-08-20,1,0.07099263160250592,0.24438382421681343,0.5660978614429891
1994-08-20,2,0.1672538084964422,0.4019131261230553,0.7169091906135623
1994-08-20,3,0.2679430376746314,0.4864788233715393,0.7769547277417247
1994-08-20,4,0.234906066662205,0.47807394353945415,0.7547365011655822
1995-06-20,1,0.0880975289329747,0.29070308808730894,0.5987286552000336
1995-06-20,2,0.1987508342651302,0.4488297093597161,0.7566549624097453
1995-06-20,3,0.29998263581339635,0.5245990585771122,0.7730171932707496
1995-06-20,4,0.2550773090483587,0.5061527578948242,0.776893641398085
1995-08-20,1,0.10953793829538827,0.4577671196881958,0.8199724098752922
1995-08-20,2,0.25989461006462117,0.5967779429297642,0.8580339311062236
1995-08-20,3,0.49663980007772185,0.7607648679357717,0.9351930332738407
1995-08-20,4,0.35113961347628364,0.6439892713967039,0.8953768035100454
1996-06-20,1,0.11774063251883385,0.4534952287220265,0.7861505092089379
1996-06-20,2,0.28399512532835525,0.5641556115084522,0.8528229565928057
1996-06-20,3,0.4763646053428914,0.7287767028537702,0.9131981653297131
1996-06-20,4,0.36012466700010926,0.6350447525898104,0.8796591459717571
1996-08-20,1,0.1299089314503662,0.46529275053249997,0.8303758596590866
1996-08-20,2,0.3071273754220851,0.6209428013625117,0.8857744996063753
1996-08-20,3,0.5721857731834195,0.8196462171553239,0.956173792472648
1996-08-20,4,0.36279837387002956,0.6548157320485832,0.90106730030011
1997-06-20,1,0.11927774665427783,0.3882747506438486,0.7416640959558717
1997-06-20,2,0.2750158615605585,0.5580483414978903,0.837602909519626
1997-06-20,3,0.37527113776912613,0.6330067145951657,0.88333360284559
1997-06-20,4,0.3118899728903025,0.5922798314650211,0.8484907845014539
1997-08-20,1,0.10610876051193112,0.2880177387525509,0.5694281241793845
1997-08-20,2,0.18376122220828317,0.33466496951991664,0.5447258616906728
1997-08-20,3,0.24497267413286467,0.43343966337489237,0.7106519218093403
1997-08-20,4,0.23303500114272624,0.42630190498557646,0.7032806466125552
1998-06-20,1,0.1007096619532456,0.2772792624838552,0.5688808321724887
1998-06-20,2,0.1514534577662376,0.3030526705046265,0.5152333600224859
1998-06-20,3,0.20806577964938772,0.40283933392838095,0.7052189955665294
1998-06-20,4,0.19949885417899663,0.4003935600897709,0.6754422085832008
1998-08-20,1,0.0999153418642752,0.28316950723355117,0.5604128995292784
1998-08-20,2,0.143677896223302,0.2987497732811747,0.543082388564049
1998-08-20,3,0.1957863628661013,0.38895639792760595,0.6718341496807683
1998-08-20,4,0.1822414562346516,0.37784820804144914,0.6552686141860191
1999-06-20,1,0.10736658670092672,0.2960751866093127,0.59644822920426
1999-06-20,2,0.1510806134512849,0.3149974090356753,0.6189720534389763
1999-06-20,3,0.20079066187613823,0.39079147749514836,0.665910051476813
1999-06-20,4,0.1914817963232992,0.3802537596450656,0.6616777606105576
1999-08-20,1,0.1303602186664643,0.3459398774751076,0.6747691450983586
1999-08-20,2,0.16680675556506924,0.3773600397668687,0.6685541423313263
1999-08-20,3,0.255263262228517,0.4724226546483655,0.7543134446107751
1999-08-20,4,0.22514783125110563,0.4473460666190173,0.7404280462153779
2000-06-20,1,0.14066343222924813,0.39216914393437846,0.7263319978479232
2000-06-20,2,0.18703746393656917,0.42404107647355294,0.7465705417452614
2000-06-20,3,0.28561026209977863,0.5316686577813187,0.8098001359303346
2000-06-20,4,0.2582064217395188,0.5119018425748489,0.7933305767645433
2000-08-20,1,0.16426289603653516,0.4188951619160493,0.7354502516890254
