date,basin,lo,mi,hi
2013-08-20,south,1.5195380556577442,3.027595166122456,5.073041119213469
2013-08-20,north,1.5760300299683867,2.5342614662428824,3.7788057105005683
2014-06-20,south,2.0675513406930133,3.4625324831044333,5.343063017683251
2014-06-20,north,1.692830565563319,2.7936946460937877,4.092665562798384
2014-08-20,south,2.8976801552063702,4.22846717855365,5.8475539483887395
2014-08-20,north,2.909086400097679,3.7548482594781554,4.777255772940553
2015-06-20,south,1.5695735680497953,3.0398905572984747,4.838687407358684
2015-06-20,north,0.7980296895732071,1.9637218678722737,3.563064774469032
2015-08-20,south,0.8954339522130755,2.3090974448120285,4.230367056351807
2015-08-20,north,0.5569190513533159,1.5467679083502786,3.344994282850437
2016-06-20,south,0.8234223079188064,2.0417532635037094,3.909298065102803
2016-06-20,north,1.3309761866704048,2.41682056892473,3.9489334728353795
2016-08-20,south,0.7191507317723306,1.9672252673061712,3.5574121116076265
2016-08-20,north,2.0067465006846454,3.1774596306977507,4.48018757418465
2017-06-20,south,0.5996542104162992,1.6440863635065885,3.1173171590899442
2017-06-20,north,2.3668321661702114,3.4053189617868194,4.631212040145847
2017-08-20,south,0.4903854881022465,1.4507278199994218,2.7175652952655867
2017-08-20,north,3.3400354022492165,4.108251705828547,5.029279079578747
2018-06-20,south,0.5080418094035958,1.2740511700838655,2.36097249208792
2018-06-20,north,1.3326044168484996,1.8760257800038476,2.587250480961182
2018-08-20,south,0.29349176792643117,0.8522754326969215,1.628651570351967
2018-08-20,north,0.20741515006383696,0.43224385893630196,0.7079502933830754
2019-06-20,south,0.17741477045667753,0.5662236010337427,1.2437742047722966
2019-06-20,north,0.31837723734577444,0.5595368528634057,0.8278023743640244
2019-08-20,south,0.17272726232472782,0.5012286821455024,1.1529387940454774
2019-08-20,north,0.7010728037342832,1.0430787018088403,1.475563676040951
2020-06-20,south,0.7300694482248277,1.3451034656968304,2.1782515371207354
2020-06-20,north,0.9430912063892923,1.3056365468159241,1.7981924185045464
