var,type,lo,mi,hi
l,arith,1.3036318363448247,1.3636339390109247,1.434660430324872
l,geom,0.9886888108573532,0.9971971532749093,1.0052935057139507
l_asym,arith,1.3475222241958054,1.4493774995417814,1.5732454670992018
l_asym,geom,1.0977029655609927,1.1528082893156086,1.2219616017189574
