date,lo,mi,hi
1991-06-20,-2.397796921625193,-1.8640869303271637,-1.1113878825316703
1991-08-20,-0.6977372665908903,-0.12508358098176486,0.29106743040764166
1992-06-20,-0.4142792873928418,0.05060506641743609,0.4376759495886907
1992-08-20,-0.3538879950811097,-0.0700142416363557,0.16092638078590615
1993-06-20,-0.29269807488717603,-0.06585692346937905,0.1402566725536572
1993-08-20,-0.26695108559780856,-0.0776211164208745,0.08136629636740167
1994-06-20,-0.41623655798485704,-0.1521309289195144,0.08030616883645694
1994-08-20,-0.32707198752696093,-0.09608800254984667,0.1075817942583595
1995-06-20,-0.4151495797609112,-0.10472958074608862,0.21475643803229508
1995-08-20,-0.49253827393880945,-0.07770100588834566,0.43237630577493846
1996-06-20,-0.7111726670748573,-0.2799362644902238,0.22176393958056903
1996-08-20,-2.161331777174431,-1.4060202226738823,-0.5824670259636506
1997-06-20,-1.626569842570943,-0.8443157752316377,-0.08319156696294222
1997-08-20,-0.9150736035747172,-0.34456792537246517,0.21925488599467166
1998-06-20,-0.36649823082676797,0.006080037687178325,0.389396413477166
1998-08-20,-0.2725434022917083,-0.03554696876724424,0.20694679247190287
1999-06-20,-0.26838469694078093,-0.04579040173765242,0.15676588402768415
1999-08-20,-0.19474429638963586,8.057263921626007e-4,0.21044889128284985
2000-06-20,-0.24736220687132002,0.0019457176627328543,0.24133093685625195
2000-08-20,-0.4125421209876246,-0.1572697604634531,0.09164996913011637
2001-06-20,-0.7233927307467068,-0.35589780002808924,-0.019434946071264562
2001-08-20,-0.7295810382980445,-0.2580471964947883,0.23106100681838537
2002-06-20,-0.8932289699535492,-0.20523513700702695,0.4536025318064126
2002-08-20,-3.351160931458333,-2.4456933982809046,-1.4959873700949486
2003-06-20,-2.448129573652958,-1.5252521241502315,-0.5355044664053856
2003-08-20,-0.4774977228660328,0.5497974994825595,1.5945914557217473
2004-06-20,-0.24278492865779672,0.6314949052315619,1.5708441360748469
2004-08-20,-0.406074166964394,0.20606580334708768,0.7996432168974366
2005-06-20,-0.2099709020965757,0.09122398024184457,0.3896355009384129
2005-08-20,-0.13906899684073273,0.11254070229408122,0.45311524514631446
2006-06-20,-0.27310224834683194,-0.05708727600668419,0.17714360583209288
2006-08-20,-0.5700374418036697,-0.2742796893841839,0.021370107442612904
2007-06-20,-0.34922203285598,0.011289464983209097,0.48955910704832345
2007-08-20,-0.5679661532752329,-0.10955631149101963,0.5853819660606187
2008-06-20,-0.29912798758293596,0.04352558145680646,0.44103047277821505
2008-08-20,-0.19487707788453382,0.13962475590504364,0.6974757906242592
2009-06-20,-0.37133577917117677,-0.08497996463438716,0.19027635937211967
2009-08-20,-0.5277866329740064,-0.19979257520432475,0.14554415682010233
2010-06-20,-0.8329756209429162,-0.44003699936832497,0.005386645734381981
2010-08-20,-0.6110980292461606,-0.09726421434364897,0.4103649337183845
2011-06-20,-0.4015683811658459,-0.05169437874423563,0.29591004070202476
2011-08-20,-0.3006305531957296,-0.05882106237511465,0.22465829223747527
2012-06-20,-0.30783627008921455,-0.07145834162390408,0.2113412285108177
2012-08-20,-0.2890109178106358,-0.10864272121085451,0.0574244325369367
2013-06-20,-0.4901818564494009,-0.21301436322279432,-0.014666662828516986
2013-08-20,-0.3931188129386744,-0.16682347449268653,0.06865796677781835
2014-06-20,-0.8813924906617195,-0.49194566781577154,0.2627730853457907
2014-08-20,-0.2992817811288262,-0.09112783781654221,0.10140690489547344
2015-06-20,-0.35985753142580706,-0.11895526039074054,0.10548427559478026
2015-08-20,-0.1468175437419142,-0.028156978979062455,0.09043927111763497
2016-06-20,-0.16987291243675942,-0.043761953412862396,0.11322685903111983
2017-06-20,-0.19864645157928718,-0.07085913711124864,0.04594623708478481
2017-08-20,-0.36459550999237395,-0.1288989865930073,0.06797925126831793
2018-06-20,-0.548208764905604,-0.2896870119791227,-0.062049822639893046
2018-08-20,-1.4003818755129374,-0.8682617631922782,-0.38185632955221194
2019-06-20,-1.3603548547524669,-0.7920784603599467,-0.20635360246580503
2019-08-20,-1.6148536416673953,-0.7704532080477888,-0.14640270665895733
2020-06-20,-0.8511138731606223,-0.28767264806830367,0.35757672129285817
2020-08-20,-0.811718227096677,-0.30638756078927887,0.22744009876027416
