year,var,lo,mi,hi
1991,l,2.4205738096099103,2.8479894217442694,3.3450298025173986
1991,l_asym,1.0608649407779192,1.537680216756081,2.8666752941330884
1991,r,0.8840045918139836,1.0466132762561393,1.207475596291936
1991,r_asym,0.059084531327080164,0.43027487433134437,1.0531528897386004
1992,l,0.13640699108081286,0.1796696707949726,0.23463237937251785
1992,l_asym,0.3051755475419549,0.43569023931999057,0.6275633369539642
1992,r,-1.9921123834589167,-1.7166353448186427,-1.4497353353352298
1992,r_asym,-1.1868681653960536,-0.8308237525598737,-0.46591070097403575
1993,l,0.5569328998941975,0.7728861329352601,1.035065313097651
1993,l_asym,0.5651551068998768,0.7920870398817861,1.0684478439068759
1993,r,-0.5853105661741385,-0.25762355648463575,0.034464526759604666
1993,r_asym,-0.5706554991667485,-0.23308399934805465,0.0662069816248181
1994,l,1.141733265622911,1.4889022690389053,1.9294786371141144
1994,l_asym,1.1209150119564117,1.4518485517590216,1.9065481747633801
1994,r,0.13254747995418778,0.3980390149249638,0.6572498299780553
1994,r_asym,0.11414518518221584,0.37283754812676706,0.6452943296007158
1995,l,1.012228270124462,1.3298174613224825,1.7665250938413957
1995,l_asym,1.4663594825840092,1.8790925796107563,2.4415467948287137
1995,r,0.012154108491584664,0.28504158066403207,0.5690143922885804
1995,r_asym,0.3827827866170354,0.6307889852943023,0.8926317665389799
1996,l,1.3855377420977928,1.7018853674972332,2.094224343298911
1996,l_asym,1.4659789529046103,1.790753947233203,2.211005581936667
1996,r,0.3260883137513627,0.531736667158466,0.7391831311180683
1996,r_asym,0.382523242989468,0.5826367288339765,0.793447371520317
1997,l,0.5076328453692439,0.6433862754570411,0.8134739932883659
1997,l_asym,0.491094765036379,0.6255384104666188,0.7874360716479019
1997,r,-0.6779969162309347,-0.4410101462127933,-0.20644132175814434
1997,r_asym,-0.7111181686767172,-0.4691425964090886,-0.2389730907343714
1998,l,0.39454413472344063,0.5382438389579758,0.7253622824093415
1998,l_asym,0.40217666825201437,0.560171712816927,0.76581832195177
1998,r,-0.9300243270184181,-0.6194435941043779,-0.3210840700670741
1998,r_asym,-0.9108638918555585,-0.5795119751004082,-0.26681036622268506
1999,l,0.6876216452824577,0.9333261928314538,1.2467576104404903
1999,l_asym,0.730774221016794,1.0061288179438277,1.3516752034745267
1999,r,-0.374516558026571,-0.06900052680071049,0.22054626285919438
1999,r_asym,-0.3136507603383849,0.006110039223971289,0.3013443300411248
2000,l,1.4276412110024226,1.8010726635665848,2.241930292388957
2000,l_asym,1.3962700565870263,1.8333358184952289,2.3490344166736574
2000,r,0.35602357886193686,0.5883823960868495,0.8073372282626151
2000,r_asym,0.33380438353296893,0.6061371482604793,0.8540043516829812
2001,l,1.3868972621548543,1.6612381773808584,2.016331824869227
2001,l_asym,1.573205689885222,1.9483309400853555,2.40580029969298
2001,r,0.327069037534244,0.5075631952510418,0.7012799309989058
2001,r_asym,0.4531153639964862,0.6669730587959499,0.8778825945077386
2002,l,1.6509162000460327,1.8721478180173103,2.1169672332860316
2002,l_asym,1.8969608643449607,2.2222354105045117,2.6053044528823044
2002,r,0.5013303860277787,0.6270863099725121,0.7499845011859001
2002,r_asym,0.6402530598822411,0.7985136295417568,0.95754953749601035
2003,l,0.5751525437655175,0.6668157689045509,0.760448611126269
2003,l_asym,0.5863101190550257,0.6749318021930821,0.7649810100006592
2003,r,-0.5531199809812548,-0.40524149821136607,-0.2738467591945389
2003,r_asym,-0.5339064160123476,-0.39314362700332606,-0.2679042690427278
2004,l,0.3727736542915353,0.4727856961727992,0.5877097968004354
2004,l_asym,0.34708547728880823,0.45189375397584064,0.5598259138146913
2004,r,-0.9867838840778946,-0.7491130673811888,-0.5315219972289907
2004,r_asym,-1.0581842392517258,-0.794308191929187,-0.5801294117705249
2005,l,0.5285520061890056,0.7025669411429916,0.9053129981458748
2005,l_asym,0.5001484731321812,0.6820468737792624,0.9396616053637482
2005,r,-0.6376140862759458,-0.353014592451395,-0.09947454844389897
2005,r_asym,-0.6928502786713169,-0.3826568936473127,-0.0622354629265682
2006,l,1.258912946946017,1.573204854339515,1.9933315962008409
2006,l_asym,1.2698863124481357,1.5974698206616442,2.0055612892416064
2006,r,0.2302485218532691,0.4531148429402526,0.6898074075044529
2006,r_asym,0.23892730918547023,0.4684210123228602,0.6959237220467617
2007,l,1.1687357832040788,1.4083230320277997,1.7051656831851798
2007,l_asym,1.220460455874177,1.497990510268191,1.8593303905519523
2007,r,0.1559226145061752,0.34239964578689575,0.5336622790626296
2007,r_asym,0.1992282001114861,0.40412453632397727,0.6202164168224109
2008,l,0.7044348888289012,0.8652183647423721,1.0622734345940847
2008,l_asym,0.6825592670890478,0.8663083215170007,1.0636678665939012
2008,r,-0.3503593769998965,-0.1447734238042292,0.060411337947633495
2008,r_asym,-0.3819059341540205,-0.14351470342256958,0.061723180284468236
2009,l,0.779540377318482,0.9539666617685874,1.1838695900407554
2009,l_asym,0.8425997281593411,1.0596273216743552,1.3174471791780902
2009,r,-0.24905081458710385,-0.04712655860448835,0.16878838470065155
2009,r_asym,-0.17126329587504083,0.05791704054007073,0.27569590622757745
2010,l,1.2187398023264502,1.4989657455454266,1.810400075247437
2010,l_asym,1.0878080403359576,1.3552840949987224,1.668498336792024
2010,r,0.19781736197074157,0.40477535095209016,0.5935478549662793
2010,r_asym,0.08416469661674014,0.3040110770986291,0.511923980362203
2011,l,0.3601521970650079,0.47329281593038863,0.5997221126348629
2011,l_asym,0.4015086873783352,0.5231216230640123,0.6728649245162805
