year,name,index,type,lo,mi,hi
1991,d1,1,elas,-0.0351919113499427,-0.0139361499329262,-0.003926732683130155
1991,d1,1,elas_asym,-0.11253402406406202,-0.05267299573453883,-0.012961268552593719
1991,d2,2,elas,0.060215261578519405,0.13089522044273422,0.2262170959074273
1991,d2,2,elas_asym,0.012964134147440607,0.02853105104353422,0.047841432287074354
1991,g1,1,elas,0.47849626573776216,0.6000098198242374,0.6998149171459308
1991,g1,1,elas_asym,0.7115785072178734,0.809236704894305,0.8876929693446336
1991,r1,1,elas,0.6425418616170969,0.6791425455227549,0.7169123860802057
1991,r1,1,elas_asym,0.7515724295725051,0.8492771166047015,0.9135530281185169
1991,r2,2,elas,0.19111226408481358,0.22518870668945828,0.2584392179880885
1991,r2,2,elas_asym,0.020644243357270296,0.048722708300373736,0.10710047897114425
1991,s1,1,elas,0.18752956076617253,0.3434824462044277,0.4970797264231221
1991,s1,1,elas_asym,0.7556119033731346,0.8527353855789379,0.9132415806867203
1991,s2,2,elas,0.07579817595504532,0.14233891773937862,0.24795531218217898
1991,s2,2,elas_asym,0.068278224047844,0.1316718512590307,0.22084086426898025
1991,s3,3,elas,0.25661500352382727,0.37477400360090596,0.5049729610160443
1991,s3,3,elas_asym,0.02557287330534719,0.055277344100347445,0.1170483530392373
1991,s4,4,elas,0.12852028951006125,0.19909331710247513,0.28507872303830317
1991,s4,4,elas_asym,0.022336302848895574,0.045145190049074135,0.0874773144581406
1992,d1,1,elas,-0.29837592978549504,0.01906617344754994,0.15330239321957662
1992,d1,1,elas_asym,-0.204816667160618,0.04432473113547561,0.12158992075710416
1992,d2,2,elas,-0.4568828597708854,-0.15462797465057287,0.03107138062689077
1992,d2,2,elas_asym,-0.3928152105730053,-0.0854830957857744,0.08519227953237046
1992,g1,1,elas,0.18560371027145192,0.35395586353630326,0.5054195095249692
1992,g1,1,elas_asym,0.2947967713263099,0.44470344988543087,0.627055355644566
1992,r1,1,elas,-0.1656422156470729,0.06518647930097105,0.29160228534222254
1992,r1,1,elas_asym,0.03857491406034733,0.15527747874982983,0.398078671504125
1992,r2,2,elas,0.22761365574904313,0.423911784146667,0.6315415969738731
1992,r2,2,elas_asym,0.19763108747008135,0.4142768257844729,0.6564219882816372
1992,s1,1,elas,0.19325737310348667,0.37265927246924924,0.5710740605518199
1992,s1,1,elas_asym,0.054299032610918244,0.1714653069452785,0.419779065901467
1992,s2,2,elas,0.1328629750845395,0.2728827019463432,0.4689697978275534
1992,s2,2,elas_asym,0.07235464871410406,0.20785305207380808,0.47404996136811606
1992,s3,3,elas,0.25185921245161874,0.42119295076932156,0.63071713916016
1992,s3,3,elas_asym,0.20457930418026846,0.4347924755969711,0.6918198313875037
1992,s4,4,elas,0.1937342877376746,0.3436825102876033,0.5670822392945322
1992,s4,4,elas_asym,0.1553045615163338,0.3497647895876,0.6862214253116767
1993,d1,1,elas,-0.20705660748324975,0.0822117114083149,0.2548276588408287
1993,d1,1,elas_asym,-0.2109759670671202,0.036421098831423054,0.11356799368977961
1993,d2,2,elas,-0.350068263245647,-0.05789311110510302,0.14781884532208178
1993,d2,2,elas_asym,-0.3795964973228251,-0.06664177236892624,0.09005124682600864
1993,g1,1,elas,0.1333937538413019,0.24811758678867485,0.383242071074831
1993,g1,1,elas_asym,0.2651331721589832,0.41123118398874725,0.5707280998889059
1993,r1,1,elas,-0.036397631748080056,0.20336294472865585,0.4521974685534381
1993,r1,1,elas_asym,0.04706768562834848,0.19956781109614263,0.5041530900565812
1993,r2,2,elas,0.18985933588546666,0.4311149545137076,0.6661537738860318
1993,r2,2,elas_asym,0.13685816693839095,0.3963970315016802,0.6585630124339745
1993,s1,1,elas,0.01788889152311091,0.15413723381672145,0.40488685588245754
1993,s1,1,elas_asym,0.04862773985203332,0.20454317639691216,0.5261026761101711
1993,s2,2,elas,0.0904945918868583,0.26223798418333333,0.5576012899150647
1993,s2,2,elas_asym,0.06479813015512113,0.20400269520867625,0.4793872920218505
1993,s3,3,elas,0.12914237665722617,0.3214570847256556,0.5646808927085931
1993,s3,3,elas_asym,0.14429276282045111,0.41669708106971426,0.6962925861519973
1993,s4,4,elas,0.18928635988260248,0.4594961504382108,0.805870222464079
1993,s4,4,elas_asym,0.11674344796310188,0.3227397803732369,0.6507705384974936
1994,d1,1,elas,-0.1429147075333819,0.05022786544644557,0.17931382615945726
1994,d1,1,elas_asym,-0.1720722129993826,0.04425182986872847,0.12123426001176857
1994,d2,2,elas,-0.3290743760432699,-0.04966444444503575,0.1255622015831464
1994,d2,2,elas_asym,-0.39934376017446815,-0.08492415638857607,0.07660837575133755
1994,g1,1,elas,0.28946390299211205,0.41501190710778585,0.5367289833263952
1994,g1,1,elas_asym,0.3735042679666538,0.47931824032934234,0.5998110420436833
1994,r1,1,elas,0.11655597234425712,0.32796767737665433,0.5313699741950414
1994,r1,1,elas_asym,0.08892675137698795,0.3113256708494098,0.570264459190855
1994,r2,2,elas,0.19039306889586102,0.39068202529599844,0.6047896187879687
1994,r2,2,elas_asym,0.17371800358901157,0.404375655113568,0.6412505435655237
1994,s1,1,elas,0.052206781699300445,0.22835194166080508,0.5140814511025676
1994,s1,1,elas_asym,0.09052030911509042,0.32186497731926683,0.5956695826693477
1994,s2,2,elas,0.07799216458519036,0.2180262265164546,0.42794562351565096
1994,s2,2,elas_asym,0.07799072255857732,0.2035101780772514,0.41612156390131533
1994,s3,3,elas,0.2016943363313218,0.44139532359189076,0.6824603993931652
1994,s3,3,elas_asym,0.18214117063103716,0.4290732802287686,0.6795486681857054
