date,basin,var,lo,mi,hi
1991-06-20,south,disp,0.027017878394192625,0.07452003805683821,0.14865519954435386
1991-06-20,south,move,0.03760288112556471,0.11404771008328062,0.25651280214869265
1991-06-20,north,disp,0.2645639946799186,0.4222739509610978,0.545026609534854
1991-06-20,north,move,0.5654070659791974,1.0962733501500308,1.6416649086042685
1991-08-20,south,disp,0.18078413445478364,0.36645410694786673,0.589579005663673
1991-08-20,south,move,0.19577806397831482,0.424591104600356,0.7314936781316095
1991-08-20,north,disp,0.08447398892259741,0.27264218838816556,0.48644826766708665
1991-08-20,north,move,0.10099067167299103,0.368141437346186,0.7912443775660495
1992-06-20,south,disp,0.17107115659632693,0.36746313520068385,0.5926438685474156
1992-06-20,south,move,0.24171467471909572,0.5150857413750003,0.8340267406958489
1992-06-20,north,disp,0.1490312787355782,0.36046620881636954,0.5313443715130903
1992-06-20,north,move,0.1385724092839322,0.3828425357208598,0.7155375493319142
1992-08-20,south,disp,0.2516240451005236,0.45890628056690397,0.6436402664826204
1992-08-20,south,move,0.10924143210892642,0.2475905604650806,0.4740317448100655
1992-08-20,north,disp,0.13447179646612517,0.31909228857208477,0.5068472339964849
1992-08-20,north,move,0.09177793866582737,0.24499928883856753,0.48507724552566556
1993-06-20,south,disp,0.2623875405148202,0.45836226103919897,0.6390221862672107
1993-06-20,south,move,0.0682214462952525,0.16835144621850123,0.33929526794029213
1993-06-20,north,disp,0.16469254179687184,0.3511637219390826,0.5279195217051068
1993-06-20,north,move,0.07607103823738957,0.1975688895966004,0.38201160036467074
1993-08-20,south,disp,0.2309483699389382,0.4306247971444527,0.6039479426048204
1993-08-20,south,move,0.04866720501722385,0.12721965035218902,0.25524953775473785
1993-08-20,north,disp,0.2114538066178282,0.4132935980196547,0.5694555554341384
1993-08-20,north,move,0.07525428319870175,0.18478448083835425,0.34254963194616594
1994-06-20,south,disp,0.20675268082609222,0.39129424977288096,0.5424782586076065
1994-06-20,south,move,0.05197866449135655,0.14094939983242566,0.2941170581487423
1994-06-20,north,disp,0.3147977922426481,0.47198962803791833,0.605139451120749
1994-06-20,north,move,0.12125993028609539,0.2590063878010116,0.4869289106867965
1994-08-20,south,disp,0.2333552158136068,0.4136291567177653,0.5703399778704696
1994-08-20,south,move,0.0795450333429508,0.18815478199066998,0.34675882784931117
1994-08-20,north,disp,0.27928979688601674,0.45697645797859443,0.6076694964219785
1994-08-20,north,move,0.12106956483116343,0.25408799430966234,0.43957374254887555
1995-06-20,south,disp,0.23687619504863813,0.42904845783388507,0.5838042817798992
1995-06-20,south,move,0.12290572767214465,0.2913587631034642,0.5421926047874855
1995-06-20,north,disp,0.26350429452229684,0.4418463812710576,0.6014399286061733
1995-06-20,north,move,0.15825293299285847,0.32963433717997753,0.5772656457536989
1995-08-20,south,disp,0.37537957895031865,0.49322694516543375,0.6097956652935979
1995-08-20,south,move,0.24601492074279052,0.5124051664796716,0.8538560159046304
1995-08-20,north,disp,0.22314569057227185,0.3814442495314747,0.5111141664563263
1995-08-20,north,move,0.20672687187198377,0.44196011922700185,0.7197944010571884
1996-06-20,south,disp,0.3083941238590102,0.4501752331580538,0.5667397234563367
1996-06-20,south,move,0.2363076417051411,0.49822023931317283,0.8361779752155366
1996-06-20,north,disp,0.2737092827606285,0.4382571208249386,0.5638588538377829
1996-06-20,north,move,0.3661010449438946,0.6778154705038226,1.0143335266431661
1996-08-20,south,disp,0.21308605904391953,0.35588240773507085,0.4609661997029525
1996-08-20,south,move,0.23756179331527977,0.5421031886237301,0.905797204594088
1996-08-20,north,disp,0.4403973010069046,0.5429105286732957,0.6289608984722501
1996-08-20,north,move,1.1836076251329128,1.7179605754615959,2.24353874101952
1997-06-20,south,disp,0.12748820408587397,0.269411528559201,0.3956457361959519
1997-06-20,south,move,0.2164193793912567,0.5370520039319904,0.939211400895723
1997-06-20,north,disp,0.5120678444032436,0.6161498256994391,0.7158689375303677
1997-06-20,north,move,0.8053800042024205,1.3199638500426478,1.8537991962389002
1997-08-20,south,disp,0.1702577564397051,0.32401034725250316,0.4550671209082334
1997-08-20,south,move,0.24739297598471666,0.5236442096169396,0.8625134054758092
1997-08-20,north,disp,0.42973646885828176,0.5696270432376611,0.683367169081175
1997-08-20,north,move,0.44462457247864584,0.7734570139949049,1.1977359125086222
1998-06-20,south,disp,0.26267913098851065,0.41029500799052393,0.5463476745981336
1998-06-20,south,move,0.20707742575658916,0.4142923061942335,0.677018760777584
1998-06-20,north,disp,0.31530428200873184,0.48673928373276193,0.6185319518643937
1998-06-20,north,move,0.1622918382830386,0.3420576206289303,0.6085348688906583
1998-08-20,south,disp,0.29278892988521876,0.46042596549139025,0.6101687162349949
1998-08-20,south,move,0.10880038267145324,0.23721708235097472,0.4294824451452884
1998-08-20,north,disp,0.24679536413569442,0.43567691035265205,0.5832372891344813
1998-08-20,north,move,0.10610821249388142,0.2356590758102638,0.43757961132539597
1999-06-20,south,disp,0.33026177145105606,0.497178523995537,0.6458971205082992
1999-06-20,south,move,0.08331391713173503,0.18126201303961267,0.3378364385889111
1999-06-20,north,disp,0.22144271336006668,0.39790467674660274,0.5506384686820428
1999-06-20,north,move,0.09859097413003458,0.22048655370998305,0.3846868180282842
1999-08-20,south,disp,0.40859853522224127,0.561395383211152,0.7120815154952819
1999-08-20,south,move,0.0906356325071353,0.19742440192743665,0.36496150036248676
1999-08-20,north,disp,0.15781058849805996,0.3269463620818079,0.4817157452655999
1999-08-20,north,move,0.07247814127468989,0.18381208764124912,0.3317155241950579
