model,waic,looic,log_lik,delt_waic,delt_looic
fit_full,3170.9867811580843,3168.7444090501363,-1481.0343699145596,1.107064117855316,0
fit_no_juv_move,3169.879717040229,3168.8141580319666,-1481.6332824937158,0,0.06974898183034384
fit_no_move,3191.4256283494806,3190.0306010225413,-1495.404226183513,21.54591130925155,21.28619197240505
fit_null,3477.158394197131,3477.681990754528,-1729.3006129476144,307.2786771569022,308.93758170439196
