station,basin,coord_system,utm_zone,long,lat
23,south,WGS84,28W,406497,7276431
27,south,WGS84,28W,405901,7274457
41,south,WGS84,28W,409111,7277188
44,south,WGS84,28W,407644,7278460
124,north,WGS84,28W,411330,7281354
128,north,WGS84,28W,409888,7280383
DN,north,WGS84,28W,410221,7278998
135,south,WGS84,28W,410309,7277508
