mean,sd,lower95,lower68,median,upper68,upper95,l_group,date,basin,size_class
490.83170835,17.032397734530047,457.61160000000007,473.99168000000003,490.579,507.77948,524.714275,60,1991-06-01,north,small
522.0467533,17.451279316452027,488.14520000000005,504.739,521.893,539.437,556.452675,61,1991-08-01,north,small
755.5490031,21.99462239266684,713.0781499999999,733.84836,755.2175,777.24748,799.71025,62,1992-06-01,north,small
287.62143745,12.402381122190345,264.012925,275.28552,287.39,299.89796,312.6301,63,1992-09-01,north,small
88.1238655,6.826984457016247,75.28831000000001,81.324556,88.01975,94.822612,101.91132499999998,64,1993-06-01,north,small
61.08474477,5.594723735721762,50.655927500000004,55.52038400000001,60.91685,66.69568,72.5087125,65,1993-08-01,north,small
176.2284141,9.358670084991186,158.121825,166.85768000000002,176.1115,185.53648,195.00305,66,1994-06-01,north,small
235.6803825,11.036878641178415,214.54489999999998,224.68804,235.4765,246.68448,257.674175,67,1994-08-01,north,small
389.43435745,14.598282267627848,361.518625,375.029,389.124,403.993,418.4372,68,1995-06-01,north,small
153.38880055,8.973257137369476,136.312,144.36952,153.284,162.19063999999997,171.49909999999997,69,1995-08-01,north,small
132.80447145,9.19760083602471,115.37562500000001,123.76784,132.5885,141.85548,151.369125,70,1996-06-01,north,small
756.24937535,20.979496936014645,716.0239750000001,735.47968,756.0035,777.1513199999999,798.1381,71,1996-08-01,north,small
261.61680845,11.863227839099975,238.66860000000003,249.72984,261.51800000000003,273.356,285.28002499999997,72,1997-06-01,north,small
452.1743325,16.153527141088986,420.65775,436.38035999999994,451.9635,468.16132,484.26804999999996,73,1997-08-01,north,small
106.18912945,7.462540931191015,92.225825,98.78881200000001,105.96,113.56016,121.46142499999996,74,1998-06-01,north,small
151.3986221,9.098617500302568,134.133975,142.3102,151.283,160.40931999999998,169.75639999999996,75,1998-08-01,north,small
297.22644,12.76573426849669,272.81285,284.36184000000003,297.072,309.91064,322.502,76,1999-07-01,north,small
129.14851058,7.973864778735137,114.031975,121.333,128.978,137.09315999999998,145.370175,77,1999-08-01,north,small
138.6017075,8.461196342575974,122.5399,130.16268000000002,138.461,147.00732,155.59105,78,2000-06-01,north,small
466.22010485,16.13901070605276,435.23135,450.21036000000004,466.0285,482.32831999999996,498.2722749999999,79,2000-09-01,north,small
594.7605384,18.862762941892075,558.394,576.129,594.5525,613.70332,632.211475,80,2001-06-01,north,small
385.7215721,14.651219029724224,357.5025,371.00724,385.592,400.31528000000003,414.60939999999994,81,2001-08-01,north,small
423.8712182,15.289729073977988,394.22085000000004,408.7324,423.666,439.09316,454.704,82,2002-06-01,north,small
789.5275501,21.940138613675884,747.21895,767.6384,789.37,811.2352399999999,833.0024999999999,83,2002-08-01,north,small
324.4714175,13.498971871667628,298.56092499999994,311.12452,324.36,337.8691600000001,351.47737499999994,84,2003-06-01,north,small
212.149857,10.826662288367837,191.19287500000002,201.36984,212.04149999999998,222.94716,234.03605,85,2003-08-01,north,small
205.6083539,10.39088194467317,185.64275,195.191,205.4765,215.89432,226.52049999999997,86,2004-07-01,north,small
