year,stage,area,count
1998,third,3,4
1998,third,4,3
1998,third,5,2
1998,third,6,8
1998,third,7,14
1998,third,8,6
1998,adult,0,2
1998,adult,1,1
1998,adult,2,1
1998,adult,3,3
1998,adult,4,5
1998,adult,5,1
1998,adult,6,13
1998,adult,7,2
1998,adult,8,1
1999,first,0,11
1999,first,1,8
1999,first,2,5
1999,first,3,3
1999,first,4,5
1999,first,5,1
1999,second,0,26
1999,second,1,12
1999,second,2,4
1999,second,3,3
1999,second,4,24
1999,second,5,2
1999,second,6,7
1999,second,7,1
1999,second,8,4
1999,third,0,1
1999,third,1,2
1999,third,3,5
1999,third,4,3
1999,third,6,1
1999,third,7,5
1999,third,8,1
1999,adult,0,6
1999,adult,1,3
1999,adult,2,1
1999,adult,3,9
1999,adult,4,7
1999,adult,5,5
1999,adult,6,11
1999,adult,7,3
1999,adult,8,8
2000,first,1,1
2000,first,4,1
2000,second,0,3
2000,second,1,8
2000,second,2,3
2000,second,4,5
2000,second,5,1
2000,second,6,1
2000,second,7,6
2000,second,8,3
2000,third,0,4
2000,third,2,2
2000,third,4,4
2000,third,7,4
2000,third,8,2
2000,adult,0,2
2000,adult,1,1
2000,adult,4,2
2000,adult,6,1
2000,adult,7,2
2000,adult,8,1
2001,first,3,1
2001,second,1,5
2001,second,2,2
2001,second,3,4
2001,second,4,2
2001,second,7,2
2001,second,8,4
2001,second,9,4
2001,third,1,3
2001,third,2,1
2001,third,3,1
2001,third,4,3
2001,third,7,4
2001,third,8,14
2001,third,9,3
2001,adult,0,1
2001,adult,2,1
2001,adult,3,1
2001,adult,4,1
2001,adult,5,2
2001,adult,6,1
2001,adult,8,1
2001,adult,9,7
2002,first,4,4
2002,second,0,8
2002,second,1,11
2002,second,2,6
2002,second,3,8
2002,second,4,11
2002,second,5,1
2002,second,6,2
2002,second,7,9
2002,second,8,3
2002,second,9,2
2002,third,1,3
2002,third,2,6
2002,third,3,5
2002,third,4,2
2002,third,5,2
2002,third,6,1
