year,lam
1986,1.983147235523457
1987,0.5677408213093331
1988,0.9508942153212092
1989,1.1491776158769806
1990,0.8686655701567738
1991,1.4801176114534544
1992,1.2095745577556594
1993,1.6068765729985062
1994,1.0023434195993859
1995,1.055406412198384
1996,0.9796063062722211
1997,1.0154736848074524
1998,1.5048168974077725
1999,0.441880836473983
2000,0.8110897505476111
2001,0.9179829067436097
2002,0.7892002462436666
2003,0.9937170468673142
2004,0.9847888135872199
2005,0.96746403726674
2006,1.0282895880805214
2007,1.1798309826107862
2008,1.5284388550003265
2009,1.4799638891480968
2010,1.300225165314981
2011,1.1171211649127881
2012,0.6562546278869337
2013,0.9743481926374365
2014,1.5494459977947188
2015,1.1558819894471033
2016,0.6073358459453926
2017,2.5949388196062166
2018,0.7958593910827302
2019,2.1249206396631175
1986,2.128470279477252
1987,0.29063520805566706
1988,1.0309871587219643
1989,0.8349390634651619
1990,1.8269877321658605
1991,1.08494190138833
1992,1.2061908527787866
1993,2.467216371475018
1994,0.6182722088198637
1995,1.0396600607409783
1996,0.4369859812979953
1997,0.7796272685411022
1998,1.7892482831485057
1999,0.35382467883906876
2000,1.3561928423842953
2001,0.8128520899022026
2002,0.6445767892833123
2003,0.9793943514134767
2004,0.8445758559459788
2005,0.661947386784142
2006,0.9413799058057262
2007,1.5817338568426036
2008,1.752014725745547
2009,1.3038846681736722
2010,1.2520838087446535
2011,1.3644418304104964
2012,0.5307887106801998
2013,1.198526120231553
2014,1.6214771229936693
2015,0.9625134343102048
2016,0.7409750195303033
2017,2.3146658145645898
2018,0.6551211820986673
2019,2.3149435501141302
1986,2.237262820527478
1987,0.3517054066909157
1988,0.8511583648824115
1989,0.5359791425558041
1990,0.9651997698085041
1991,0.6022392923395261
1992,1.2992639230628453
1993,1.5943696740246665
1994,0.9424609729183424
1995,1.0119279429258567
1996,0.8498888526523718
1997,1.0351868347087
1998,1.7215327784056105
1999,0.33046044872476166
2000,1.332811790770842
2001,0.9677061033053912
2002,0.8629739940467086
2003,0.6411214617644586
2004,1.0636755733400383
2005,0.7691044242862906
2006,1.084260605827248
2007,1.1700518942259615
2008,1.6066178734328047
2009,1.2561459155771644
2010,1.2077074449531497
2011,1.0819766195706881
2012,0.627773391333927
2013,1.1699110165845246
2014,1.5402563268390148
2015,1.3309493757024906
2016,0.628994700168625
2017,2.4225732827448696
2018,0.7303933920952957
2019,2.0305965572227684
1986,1.6199099996070594
1987,0.4687735300717458
1988,1.0033172179710415
1989,0.9364033505261723
1990,1.330488006897678
1991,1.0403463693411685
1992,1.2570725326923105
1993,2.1741967214727
1994,0.581526789076232
1995,1.0973273618239754
1996,0.49752851876890486
1997,0.6881218123088372
1998,1.8210047441892872
1999,0.3991341054210727
2000,0.7878136585703875
2001,0.7381593588120166
2002,1.4359588772629936
2003,1.0602246816588452
2004,0.5677454001134885
2005,0.8293802779560181
2006,0.8898658037028453
2007,1.357162039206146
2008,1.7596788004147865
2009,1.2891922204616908
2010,1.0747180226809427
2011,1.5608506981776011
2012,0.5420299540204094
2013,1.079042719764517
2014,1.7296860751783891
2015,1.2014972462046654
2016,0.9421179270454177
2017,1.5278898085650994
2018,0.8710809326806749
2019,2.0047452139818764
1986,1.719577620385862
1987,0.32522291334769626
1988,0.9334024027151788
1989,1.0490846038165473
1990,0.8971520111219359
1991,1.1678266498372343
1992,1.1519337755262473
1993,3.144764933961472
1994,0.5687522102032785
1995,1.0543311545214897
1996,0.4527613668013649
1997,0.6922240648318215
1998,1.9209509591309433
1999,0.4420287947445696
2000,0.8980003823267342
2001,0.9625116693787534
2002,0.8359903810795595
2003,0.5707220931638619
2004,0.649495448296289
2005,0.6303414895600182
2006,1.0590730631626253
2007,1.8454034735025835
2008,1.290430477363057
2009,1.5409545764794186
2010,0.925078071778533
2011,1.54188481364796
2012,0.6325034574831255
2013,1.211372835153387
2014,1.817296337833406
2015,1.1242631180394713
2016,0.7112945370945323
2017,1.8318610148147016
2018,0.9469334904237267
2019,1.0691599834121466
1986,2.2022400784104033
1987,0.4160109765642279
1988,1.120178051612012
1989,1.2975721733149714
1990,0.6644409374542704
1991,1.227549306182879
1992,1.0105290104347784
1993,2.055413670040561
1994,1.0400713829595851
1995,0.8336230252380642
1996,0.6052996334631228
1997,1.0032284645055787
1998,1.557580013198753
1999,0.39022865204787105
2000,0.8569647236559375
2001,0.8348658847178465
2002,0.7935358139034663
2003,1.2744033875307812
2004,0.9936291847493355
2005,0.9067486708410166
2006,0.552130363297338
2007,2.0099653431299584
2008,1.3435543164627706
2009,1.3375400145763408
2010,1.3070342330900941
2011,0.8888070743104349
2012,1.0149722371778724
2013,1.153960997093441
2014,1.5232565801877669
2015,1.0895069003909599
2016,0.8999128918908894
2017,2.122300019633356
2018,0.6198123395266514
2019,2.0682036781985116
1986,1.432582665524126
1987,0.7992242935264868
1988,0.9474483124641774
1989,0.7828481253590247
1990,1.4402459216902046
1991,1.3345278524903843
1992,1.2146040077906306
1993,1.776588850839953
1994,0.7061393909513114
1995,0.969663442758864
1996,0.4879400194413848
1997,0.8790670020895395
1998,2.089011525137275
1999,0.5023240979541974
2000,0.5905200179300885
2001,1.311951673200844
2002,0.8334879791856284
2003,0.8116211752609337
2004,0.647831806322857
2005,0.804189867004492
2006,1.0480056182911397
2007,1.8156393741886798
2008,1.488802863687928
2009,1.6322517116763544
2010,0.9578721111864261
2011,1.0113185502088464
2012,0.9683088366520516
2013,1.1654667244748078
2014,1.300349751284455
2015,1.207444185160235
2016,0.5787069320798438
2017,1.991978896586005
2018,1.001639525863804
2019,1.5881584949841676
1986,2.2049267921856615
1987,0.7728518017315535
1988,0.8230878640259677
1989,1.2339752938019928
1990,1.0667921691797586
1991,0.5180438021604031
1992,1.4123949309797028
1993,1.1227855271902354
1994,0.8382806780719182
1995,1.0304182902350199
1996,0.9997348023977585
1997,0.9465132535371857
1998,2.523250695327233
1999,0.40522583649145916
2000,0.7370037219526961
2001,1.2454115068993952
2002,0.8805996497278804
2003,1.1327012615989889
2004,0.8757821630654979
2005,0.6546926903139539
2006,0.9904545867227912
2007,1.789050544093363
2008,1.050800826229905
2009,1.5110478663128595
2010,0.9165751261927636
2011,1.3205980068727547
2012,0.48749650565826336
2013,1.060567294058493
2014,1.550802425887387
2015,1.0893635066601015
2016,0.66925746293342
2017,1.5757065326058837
2018,0.959754074387927
2019,1.0204506171090886
1986,1.8592933655183312
1987,0.45003532775794464
1988,1.0278451575405299
1989,0.7207261928290255
1990,1.1731667306365836
1991,0.8894193797271563
1992,1.6275737674125546
1993,1.8782070544989824
1994,1.039249268165509
1995,1.1665182201561777
1996,0.8629246912755753
1997,0.6767457578616998
1998,1.649793904208125
1999,0.43827335640270904
2000,0.7700611634924946
2001,0.8169480537150674
2002,0.9961367630798402
2003,0.8360536500435366
2004,0.9142177349384261
2005,0.7358004569316293
2006,1.2385396404042015
2007,1.0026907591433525
2008,1.2341470234832759
2009,1.545281072590646
2010,1.1943188468017247
2011,1.0399365400543483
2012,0.5890679653363436
2013,1.3414438631643064
2014,1.4441766299021714
2015,1.1532156850367896
2016,0.935982448895896
2017,1.2658225113783983
2018,0.8614889193305709
2019,2.3366948287343257
1986,1.762171743064864
1987,0.6884330703099616
1988,1.047821287780155
1989,0.759915705389917
1990,1.0378635139234238
1991,1.1382556775363062
1992,1.25434576903306
1993,1.8625083839653602
1994,1.0560099178277331
1995,0.8798045382588341
1996,0.971372694225617
1997,1.007216394027757
1998,1.8631372083579234
1999,0.28186596809633674
2000,1.2578891359894713
2001,1.0147003053576298
2002,0.5295488448643583
2003,1.782014250795508
2004,0.8441260158412962
2005,0.5327368435473252
2006,1.2163673380258337
2007,1.1460647831686834
2008,1.5443511942185046
2009,1.337647731713073
2010,1.0731057419786123
2011,1.3126709909570058
2012,0.5662603225171673
2013,1.1737136040364382
2014,1.4609517583218878
2015,1.1591853648217598
2016,1.0278910812811048
2017,1.5890117108099078
2018,0.8784787326427324
2019,1.8555237350411082
1986,2.5314449763682685
1987,0.3468151881498082
1988,1.0616321434768063
1989,0.8800821973270961
1990,1.2911510022305448
1991,0.8939133096996074
1992,1.7706770927328663
1993,1.6757831615947796
1994,0.8465418047320641
1995,0.7407112580313947
1996,0.8976726006949154
1997,1.019164917825731
1998,1.283443328744228
1999,0.314587768439988
2000,0.8884590822375196
2001,0.8315918252728586
2002,0.6319103408209368
2003,0.9704038476161709
2004,0.8713824031094778
2005,0.6397830454464403
2006,1.0491965064028637
2007,1.2796615869983834
2008,1.5206283534040348
2009,1.3248346223635379
2010,1.2676299112039218
2011,1.053284513102842
2012,0.7058295295793134
2013,1.0904062259636442
2014,1.4541081138229028
2015,1.239280098216236
2016,0.795795406280235
2017,2.096352976810807
2018,0.6799469006277276
2019,2.1251420385564748
1986,2.0086201641059667
1987,0.36478514584233795
1988,0.8810658828108043
1989,0.8375395209393488
1990,1.6598823426033218
1991,1.0618039961889085
1992,1.1465401702493503
1993,1.8704539952893107
1994,0.8156255929339804
1995,1.191927279807615
1996,0.48200249530545153
1997,1.1772070752719384
1998,1.61164749305794
1999,0.3579008227002174
2000,0.5331160773607385
2001,1.2418396369632998
2002,1.1964548443374448
2003,0.9605070292998347
2004,0.5296980738363712
2005,0.8842170571983177
2006,0.748744735263337
2007,1.9581396975109155
2008,0.9105655798087454
2009,1.6786364455180107
2010,1.0930334033193856
2011,1.7194086352219942
2012,0.554468014134965
2013,1.119569510686681
2014,1.3278410852254414
2015,1.3339577732329608
2016,0.7455894820461396
2017,2.0146002660365387
2018,0.5898542240290607
2019,2.072426945180069
1986,2.2789775238819163
1987,0.2873920311029182
1988,1.1775726684384435
1989,0.7457544416237631
1990,1.5197280105695241
1991,0.9646756474810091
1992,1.1924225470583427
1993,2.30362167462107
1994,0.7209644606868356
1995,0.9762066519357407
1996,0.5665860746962241
1997,0.5415190266189073
1998,2.270857199475636
1999,0.2869799110472039
2000,1.2682798224849563
2001,0.6059424301051552
2002,0.9573376700488903
2003,0.6071967537841293
2004,0.9173846717971743
2005,0.7713959699989976
2006,1.1509395653938161
2007,1.4741624465166039
2008,1.2515116325063198
2009,1.4041757791066438
2010,1.167704845450565
2011,1.3187295741086433
2012,0.5168762199629724
2013,1.4938170981397785
2014,1.420175823104343
2015,1.1423963779434385
2016,0.7675832498335566
2017,0.9827296789464386
2018,0.9640475792631108
2019,1.1374081164354015
1986,1.9517960844563578
1987,0.5970739469218916
1988,0.8143880868075273
1989,0.9762190961050543
1990,1.6697754972996182
1991,0.981022957533288
1992,1.3618297631329854
1993,1.968723690299374
1994,0.8663894205425646
1995,1.0340143497068943
1996,0.5953106775459474
1997,0.923673343193466
1998,1.8040549393435015
1999,0.2899225406352947
2000,1.0958211888327338
2001,0.775689440919645
2002,0.910903025800506
2003,0.9825934874318488
2004,0.5722958287143622
2005,1.0046732139538337
2006,1.0104699187372943
2007,1.3193091311014071
2008,1.5833045559623615
2009,0.95557719433874
2010,1.512081906444182
2011,1.2452297766702383
2012,0.7419966401460565
2013,1.0327504606519717
2014,1.647298221646264
2015,0.9915825358451849
2016,0.9607637308440261
2017,2.1801059754821015
2018,0.812551306944104
2019,1.648487650928556
1986,2.619211980453042
1987,0.31949443054397064
1988,0.759061932495518
1989,0.9668720540718142
1990,1.7267032257132813
1991,0.9777942602758136
1992,1.0683193009258598
1993,2.2290952927956726
1994,0.6603531025201375
1995,1.212655173003333
1996,0.43503495425489175
1997,0.9264099106322343
1998,1.4832943468001598
1999,0.3797850594803038
2000,0.6898668470662096
2001,1.045707303221108
2002,0.8700134169875544
2003,1.0218583675751631
2004,0.664054485692191
2005,0.86480557688424875
2006,0.9817416041352668
2007,1.4411158336343146
2008,1.4490454977631742
2009,1.5478366407836521
2010,1.1422114098581155
2011,0.9842335088774822
2012,0.5783785276532117
2013,1.2193542318392965
2014,1.330192562700713
2015,1.3645275119332054
2016,0.7150241884006049
2017,1.4651229224882534
2018,0.9734185696669827
2019,0.9063273175003873
1986,2.004221124353117
1987,0.3608130953436548
1988,0.8838777697553609
1989,0.8554012878825088
1990,0.9496281264146794
1991,1.0109297126354329
1992,1.202000547128237
1993,2.338705904301309
1994,1.0030686311469
1995,0.9573814398896711
1996,0.3294671495551839
1997,0.76735943534225
1998,1.8983164925500144
1999,0.40091172332992936
2000,0.9290546650118154
2001,1.0594251014124314
2002,0.6147990693173566
2003,1.1458309470616221
2004,1.0736154822779624
2005,0.5914095621728681
2006,1.0227524403611574
2007,1.456389197739521
2008,1.050387318702851
2009,1.594824075153131
2010,1.110277739280096
2011,1.6640978558357207
2012,0.520178111305467
2013,1.3109407328383624
2014,1.18626285922894
2015,1.278021241151131
2016,0.6908469816693679
2017,2.087591426854129
2018,0.7382345462166867
2019,2.154142723302755
1986,1.4603066889469913
1987,0.3633378959747481
1988,0.943813306984912
1989,0.6137668951363433
1990,0.7720489388813906
1991,0.7365683552166661
1992,1.316176101280452
1993,1.6000323511485741
1994,0.7782696714504908
1995,0.9657202823252329
1996,0.5015907334546021
1997,0.6210921366400226
1998,1.9541858190164239
1999,0.3092643826004205
2000,0.867986790636711
2001,0.7846223175352757
2002,0.8580412458278731
2003,1.1703078639521123
2004,0.7824642470446719
2005,1.0455908538505956
2006,0.9734229715680498
2007,1.52908357474141
2008,1.4283215594142542
2009,1.1503625198862986
2010,1.0319137458094927
2011,1.5036454900193648
2012,0.6401165778706206
2013,1.0534815962812347
2014,1.456049867184468
2015,1.1496990729163463
2016,0.9539110944882256
2017,1.6246526560890902
2018,0.7410031823146744
2019,1.831607864350282
1986,2.2982930837003828
1987,0.465565604205245
1988,1.1328046055991614
1989,1.0514814271673665
1990,1.0304637195770965
1991,1.2007486153409566
1992,1.1340997484302058
1993,2.2803546114655595
1994,0.884085609385769
1995,0.7324191127228882
1996,0.5716723420292825
1997,0.9333612786417174
1998,1.5554089440107102
1999,0.3082328392741301
2000,1.0920438328398197
2001,0.8199360256687782
2002,1.003770963322881
2003,1.1948182158611023
2004,1.0316693256592624
2005,0.6976975927501361
2006,0.6444800534676527
2007,1.201351776198457
2008,1.90025783966004
2009,1.6622143052848048
2010,1.0511880421038475
2011,1.248982490626882
2012,0.6326379742464235
2013,1.2610605432945907
2014,1.2328216111974828
2015,1.2174334066549417
2016,0.7900887259515822
2017,2.129103064440973
2018,0.6409785140585713
2019,2.2343833477137713
1986,1.7770432908363185
1987,0.5255937713168249
1988,0.8705387452166622
1989,0.5257366510997318
1990,0.8343028992006604
1991,1.2074407306387622
1992,1.629648289370155
1993,1.3507960091437394
1994,0.8243149230616923
1995,1.1318886220424114
1996,0.4412637489038323
1997,0.5981070773311198
1998,1.8303468272984955
1999,0.45620826925869407
2000,0.7640785305565383
2001,0.9001702127356189
2002,1.024062094536073
2003,0.9214512208172431
2004,0.6786469643543102
2005,0.9089212663706638
2006,1.0003608412254532
2007,1.0506080568197274
2008,1.4830283512534337
2009,1.2637213632216193
2010,1.3223732844215896
2011,1.6601363419376918
2012,0.7485110270800225
2013,1.2070053939480168
2014,0.9110073628907537
2015,1.2422243966127045
2016,0.786753197371424
2017,1.5903061584311229
2018,0.9906129897957021
2019,1.319270640013418
1986,1.9293126892649544
1987,0.26958036739257146
1988,0.9597418951413401
1989,0.9050770412352218
1990,1.3904295741135761
1991,1.1690995741026597
1992,1.2588362828817707
1993,2.205112305910154
1994,0.8039103713548369
1995,0.8614800409377328
1996,0.5473441969438002
1997,0.5617657159062679
1998,2.301717627859069
1999,0.3186372439327671
2000,0.9681170917707301
2001,0.8206692819623335
2002,0.9475286886593457
2003,0.6043856512319633
2004,0.6352411092796815
2005,0.8907094764145651
2006,1.014005527605099
2007,1.6062209033493071
2008,1.3242764629779769
2009,1.4356962973525849
2010,0.80730239935597925
2011,1.5999017518316287
2012,0.6783689118382139
2013,0.7993460242237178
2014,1.7476945643210535
2015,1.3801980254549238
2016,0.742939044904585
2017,1.1629920543848156
2018,0.9235256883452831
2019,0.9913532094479242
1986,2.0450689864001816
1987,0.2510420782310025
1988,1.1415829323128284
1989,0.8369015840627156
1990,1.5623096606693392
1991,1.109148783107018
1992,1.2519318010652911
1993,1.7761194720223603
1994,1.1126960002276205
1995,0.927244551560727
1996,0.7847830349820138
1997,1.0182628740685893
1998,1.7089791431588914
1999,0.2756912685487357
2000,1.2938896225037704
2001,0.6869170245920847
2002,0.6624078184224252
2003,0.95636270667985
2004,1.0890736798754463
2005,0.9029303412014231
2006,0.9817785349655301
2007,1.3699637944020855
2008,1.1653030505877084
2009,1.6201529938338342
2010,1.2725524526032308
2011,0.7812813681631577
2012,0.6680407626325106
2013,1.47865518155932
2014,1.5876738295955881
2015,1.0635793635403525
2016,1.0045933941749292
2017,1.116027163768048
2018,0.8923270704297385
2019,1.4546668380513466
1986,2.2683468124531565
1987,0.683848051685816
1988,1.2919763568053098
1989,0.9531770428166392
1990,0.7644733160349835
1991,0.8839051296365282
1992,1.4190223312264603
1993,1.8950581513586966
1994,0.6774397015652899
1995,0.8744209114240473
1996,0.37267197699135235
1997,0.9229106784042549
1998,2.067206567560272
1999,0.4164015953060766
2000,0.8850351622731005
2001,1.0122436392409955
2002,0.8386737568825617
2003,0.7073344768417771
2004,1.0901928908507115
2005,0.9324551099676501
2006,0.7723854065403042
2007,1.877142643616148
2008,1.3861998231079133
2009,1.2479187900114004
2010,1.2835843461728453
2011,1.0997410034791337
2012,0.943813810112711
2013,1.2733905213050463
2014,1.667844170611337
2015,1.1135429528416698
2016,0.801626040785767
2017,1.7576460887191767
2018,0.999758296205546
2019,1.5531835935510439
1986,2.5615632549660075
1987,0.4210484960965844
1988,0.7131300311523783
1989,0.9386695074061732
1990,1.3735506556075858
1991,1.2236881078994866
1992,1.268966819092656
1993,1.9130864214841892
1994,0.9002636851456625
1995,1.09195146892315
1996,0.7190645611502745
1997,0.9977330269430151
1998,1.982147369758454
1999,0.41801630917436033
2000,0.8781432677813324
2001,1.1518103522346583
2002,0.8844640586768947
2003,1.0690951518408118
2004,0.5027917522618061
2005,0.9207873372725143
2006,0.7614212743840431
2007,1.25615582387423
2008,1.2807931254168614
2009,1.707407208185299
2010,1.2993843642696339
2011,1.4064823911843098
2012,0.4615103149140371
2013,1.2144668991490761
2014,1.261833600892957
2015,1.2210529891913247
2016,0.7107520487721051
2017,1.382753949561557
2018,0.7692104279357943
2019,2.3331290252784327
1986,1.9087708435048514
1987,0.5767747546190802
1988,1.2411068294326082
1989,1.0301370214603225
1990,1.0678813632952648
1991,1.0741182476189233
1992,1.2654065078764274
1993,1.2565554422795995
1994,1.010537543215828
1995,1.2181025439572548
1996,0.8729014544427504
1997,1.0181732632854947
1998,1.740203769545236
1999,0.31563436368948977
2000,1.0292588687952524
2001,0.637230773670354
2002,0.6982826901753942
2003,1.056656476430798
2004,0.7607396451603654
2005,0.8630787765556364
2006,1.0273105070169
2007,1.4919127540289727
2008,1.2493573143147256
2009,1.1232118601744716
2010,1.263954003305513
2011,1.5856629291610445
2012,0.4904335252349609
2013,1.3625196754358155
2014,1.4667546477317466
2015,1.1208305758844184
2016,0.8410989328161383
2017,1.9400827066218933
2018,0.9532159815596122
2019,1.7145230911669203
1986,2.61247568575484
1987,0.273639351321111
1988,0.8420927783741056
1989,1.0825179364099593
1990,1.5069948475622272
1991,0.6849015891099375
1992,1.9461101521805078
1993,1.9038699164379609
1994,0.7284244086907266
1995,1.0606502335601704
1996,0.380208316956421
1997,0.8607659601117961
1998,1.7669338842007758
1999,0.35693238280336503
2000,1.1136859066753566
2001,0.9012833052247792
2002,0.7428875633672594
2003,0.8385559111843109
2004,0.9646794838907686
2005,0.5911334353360225
2006,1.287130402113036
2007,1.22647024110019
2008,1.4158154026278302
2009,1.4969405804327447
2010,1.0970993227464891
2011,1.300812444019574
